time,rfe,rfe_filled
2017-09-30,1.47,1.47
2017-10-05,1.53,1.53
2017-10-10,26.34,26.34
2017-10-15,16.75,16.75
2017-10-20,4.85,4.85
2017-10-25,.85,.85
2017-10-31,23.00,23.00
2017-11-05,5.78,5.78
2017-11-10,24.74,24.74
2017-11-15,24.60,24.60
2017-11-20,13.74,13.74
2017-11-25,30.34,30.34
2017-11-30,26.05,26.05
2017-12-05,29.49,29.49
2017-12-10,34.06,34.06
2017-12-15,43.19,43.19
2017-12-20,26.40,26.40
2017-12-25,34.62,34.62
2017-12-31,38.14,38.14
2018-01-05,17.14,17.14
2018-01-10,16.10,16.10
2018-01-15,19.15,19.15
2018-01-20,26.78,26.78
2018-01-25,22.38,22.38
2018-01-31,44.64,44.64
2018-02-05,47.71,47.71
2018-02-10,75.57,75.57
2018-02-15,36.43,36.43
2018-02-20,35.29,35.29
2018-02-25,56.50,56.50
2018-02-28,31.94,31.94
2018-03-05,40.50,40.50
2018-03-10,31.17,31.17
2018-03-15,24.65,24.65
2018-03-20,24.90,24.90
2018-03-25,19.84,19.84
2018-03-31,22.48,22.48
2018-04-05,21.51,21.51
2018-04-10,30.76,30.76
2018-04-15,32.30,32.30
2018-04-20,2.83,2.83
2018-04-25,.04,.04
2018-04-30,.02,.02
